id,totalcost,airport,totalduration,flightid,flightcost,drivingcost,parkingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration
1,179,BWI,385,2ciqOzND4aTUuEtKvqnX82002,143.10,1,36,2016-01-25T04:15,2016-01-25T07:40-05:00,360,120,72
2,188,BWI,531,2ciqOzND4aTUuEtKvqnX82007,151.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,511,120,67
3,193,BWI,622,2ciqOzND4aTUuEtKvqnX8200E,156.60,1,36,2016-01-25T14:00,2016-01-25T17:15-05:00,607,120,68
4,193,BWI,602,2ciqOzND4aTUuEtKvqnX8200D,156.60,1,36,2016-01-25T14:00,2016-01-25T17:15-05:00,587,120,68
5,216,BWI,503,2ciqOzND4aTUuEtKvqnX8200U,179.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,491,120,72
6,227,BWI,608,2ciqOzND4aTUuEtKvqnX8200F,190.60,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,598,120,69
7,231,BWI,746,2ciqOzND4aTUuEtKvqnX8200s,194.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67
8,231,BWI,746,2ciqOzND4aTUuEtKvqnX8200r,194.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67
9,231,BWI,666,2ciqOzND4aTUuEtKvqnX8200k,194.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,655,120,67
10,239,BWI,798,2ciqOzND4aTUuEtKvqnX82012,202.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
11,239,BWI,663,2ciqOzND4aTUuEtKvqnX8200l,202.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67
12,265,BWI,892,2ciqOzND4aTUuEtKvqnX8201t,228.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,875,120,72
13,265,BWI,892,2ciqOzND4aTUuEtKvqnX8201u,228.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,875,120,72
14,265,BWI,794,2ciqOzND4aTUuEtKvqnX8201L,228.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,778,120,67
15,265,BWI,728,2ciqOzND4aTUuEtKvqnX82010,228.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,712,120,67
16,265,BWI,794,2ciqOzND4aTUuEtKvqnX8201K,228.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,778,120,67
17,265,BWI,967,2ciqOzND4aTUuEtKvqnX82028,228.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,950,120,72
18,265,BWI,637,2ciqOzND4aTUuEtKvqnX8200n,228.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,617,120,67
19,265,BWI,921,2ciqOzND4aTUuEtKvqnX8201z,228.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,905,120,72
20,265,BWI,839,2ciqOzND4aTUuEtKvqnX8201X,228.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,819,120,67
21,265,BWI,891,2ciqOzND4aTUuEtKvqnX8201r,228.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,866,120,72
22,266,BWI,770,2ciqOzND4aTUuEtKvqnX82014,229.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
23,266,BWI,770,2ciqOzND4aTUuEtKvqnX8201D,229.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,753,120,72
24,266,BWI,770,2ciqOzND4aTUuEtKvqnX82016,229.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,745,120,72
25,266,BWI,845,2ciqOzND4aTUuEtKvqnX8201b,229.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,820,120,72
26,269,BWI,523,2ciqOzND4aTUuEtKvqnX8200f,232.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,507,120,72
27,269,BWI,495,2ciqOzND4aTUuEtKvqnX8200X,232.60,1,36,2016-01-25T13:45,2016-01-25T17:01-05:00,479,120,68
28,269,BWI,627,2ciqOzND4aTUuEtKvqnX8200m,232.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,607,120,67
29,271,BWI,1117,2ciqOzND4aTUuEtKvqnX8200N,234.60,1,36,2016-01-25T03:00,2016-01-25T06:20-05:00,1097,120,72
30,274,BWI,665,2ciqOzND4aTUuEtKvqnX8200u,237.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,645,120,67
31,276,BWI,655,2ciqOzND4aTUuEtKvqnX8200t,239.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,635,120,67
32,276,BWI,746,2ciqOzND4aTUuEtKvqnX82017,239.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,721,120,72
33,276,BWI,776,2ciqOzND4aTUuEtKvqnX8201O,239.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,760,120,72
34,276,BWI,783,2ciqOzND4aTUuEtKvqnX8201Q,239.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,767,120,67
35,276,BWI,880,2ciqOzND4aTUuEtKvqnX8201v,239.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,863,120,72
36,276,BWI,746,2ciqOzND4aTUuEtKvqnX82018,239.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,721,120,72
37,281,BWI,789,2ciqOzND4aTUuEtKvqnX8201W,244.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,773,120,72
38,281,BWI,935,2ciqOzND4aTUuEtKvqnX82034,244.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,918,120,72
39,281,BWI,760,2ciqOzND4aTUuEtKvqnX82026,244.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,735,120,72
40,281,BWI,842,2ciqOzND4aTUuEtKvqnX8202m,244.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,822,120,67
41,281,BWI,940,2ciqOzND4aTUuEtKvqnX82035,244.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,924,120,72
42,281,BWI,759,2ciqOzND4aTUuEtKvqnX8200q,244.60,1,36,2016-01-25T03:15,2016-01-25T06:40-05:00,734,120,72
43,281,BWI,862,2ciqOzND4aTUuEtKvqnX8202p,244.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,842,120,67
44,281,BWI,982,2ciqOzND4aTUuEtKvqnX8203D,244.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,965,120,72
45,281,BWI,804,2ciqOzND4aTUuEtKvqnX8202a,244.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,784,120,67
46,281,BWI,937,2ciqOzND4aTUuEtKvqnX8200L,244.61,1,36,2016-01-25T06:00,2016-01-25T09:20-05:00,917,120,72
47,281,BWI,937,2ciqOzND4aTUuEtKvqnX8200M,244.61,1,36,2016-01-25T06:00,2016-01-25T09:20-05:00,917,120,72
48,285,BWI,1132,2ciqOzND4aTUuEtKvqnX8203Z,248.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,1018,120,72
49,285,BWI,862,2ciqOzND4aTUuEtKvqnX8201x,248.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,850,120,72
50,285,BWI,786,2ciqOzND4aTUuEtKvqnX8201Z,248.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,774,120,72
51,285,BWI,937,2ciqOzND4aTUuEtKvqnX8202C,248.60,1,36,2016-01-25T05:00,2016-01-25T08:12-05:00,925,120,72
52,285,BWI,608,2ciqOzND4aTUuEtKvqnX8200p,248.60,1,36,2016-01-25T12:45,2016-01-25T15:55-05:00,598,120,67
53,285,BWI,674,2ciqOzND4aTUuEtKvqnX82011,248.60,1,36,2016-01-25T12:45,2016-01-25T15:55-05:00,664,120,67
54,286,BWI,875,2ciqOzND4aTUuEtKvqnX82020,249.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,859,120,72
55,286,BWI,800,2ciqOzND4aTUuEtKvqnX8201j,249.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72
56,286,BWI,800,2ciqOzND4aTUuEtKvqnX8201k,249.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,784,120,72
57,286,BWI,768,2ciqOzND4aTUuEtKvqnX8200K,249.61,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69
58,286,BWI,768,2ciqOzND4aTUuEtKvqnX8200J,249.61,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,758,120,69
59,286,BWI,695,2ciqOzND4aTUuEtKvqnX8200I,249.61,1,36,2016-01-25T13:00,2016-01-25T16:10-05:00,685,120,69
60,290,BWI,695,2ciqOzND4aTUuEtKvqnX82013,253.60,1,36,2016-01-25T04:30,2016-01-25T07:47-05:00,678,120,72
61,291,BWI,914,2ciqOzND4aTUuEtKvqnX8202A,254.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,898,120,72
62,292,BWI,647,2ciqOzND4aTUuEtKvqnX8201h,255.60,1,36,2016-01-25T12:45,2016-01-25T15:55-05:00,637,120,67
63,296,BWI,767,2ciqOzND4aTUuEtKvqnX8202d,259.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67
64,296,BWI,767,2ciqOzND4aTUuEtKvqnX8202c,259.60,1,36,2016-01-25T10:45,2016-01-25T14:01-05:00,751,120,67
65,296,BWI,812,2ciqOzND4aTUuEtKvqnX8202n,259.60,1,36,2016-01-25T10:00,2016-01-25T13:20-05:00,792,120,67
66,297,BWI,798,2ciqOzND4aTUuEtKvqnX8201n,260.60,1,36,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
67,298,BWI,591,2ciqOzND4aTUuEtKvqnX8200G,261.60,1,36,2016-01-25T04:45,2016-01-25T08:00-05:00,576,120,72
68,298,BWI,598,2ciqOzND4aTUuEtKvqnX8200H,261.60,1,36,2016-01-25T07:15,2016-01-25T10:22-05:00,591,120,67
69,300,BWI,868,2ciqOzND4aTUuEtKvqnX8202b,263.60,1,36,2016-01-25T02:45,2016-01-25T06:01-05:00,992,120,72
