id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration
1,180.81,552,BWI,2ciqOzND4aTUuEtKvqnX82002,143.10,35.60,2.11,2016-01-25T04:15,2016-01-25T07:40-05:00,360,120,72
2,189.31,698,BWI,2ciqOzND4aTUuEtKvqnX82007,151.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,511,120,67
3,194.31,795,BWI,2ciqOzND4aTUuEtKvqnX8200E,156.60,35.60,2.11,2016-01-25T14:00,2016-01-25T17:15-05:00,607,120,68
4,194.31,775,BWI,2ciqOzND4aTUuEtKvqnX8200D,156.60,35.60,2.11,2016-01-25T14:00,2016-01-25T17:15-05:00,587,120,68
5,217.31,683,BWI,2ciqOzND4aTUuEtKvqnX8200U,179.60,35.60,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,491,120,72
6,228.31,787,BWI,2ciqOzND4aTUuEtKvqnX8200F,190.60,35.60,2.11,2016-01-25T13:00,2016-01-25T16:10-05:00,598,120,69
7,232.31,922,BWI,2ciqOzND4aTUuEtKvqnX8200s,194.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67
8,232.31,922,BWI,2ciqOzND4aTUuEtKvqnX8200r,194.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,735,120,67
9,232.31,842,BWI,2ciqOzND4aTUuEtKvqnX8200k,194.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,655,120,67
10,240.31,974,BWI,2ciqOzND4aTUuEtKvqnX82012,202.60,35.60,2.11,2016-01-25T07:45,2016-01-25T10:56-05:00,787,120,67
11,240.31,830,BWI,2ciqOzND4aTUuEtKvqnX8200l,202.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,643,120,67
12,266.31,1067,BWI,2ciqOzND4aTUuEtKvqnX8201t,228.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,875,120,72
13,266.31,1067,BWI,2ciqOzND4aTUuEtKvqnX8201u,228.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,875,120,72
14,266.31,965,BWI,2ciqOzND4aTUuEtKvqnX8201L,228.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,778,120,67
15,266.31,899,BWI,2ciqOzND4aTUuEtKvqnX82010,228.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,712,120,67
16,266.31,965,BWI,2ciqOzND4aTUuEtKvqnX8201K,228.60,35.60,2.11,2016-01-25T10:45,2016-01-25T14:01-05:00,778,120,67
17,266.31,1142,BWI,2ciqOzND4aTUuEtKvqnX82028,228.60,35.60,2.11,2016-01-25T04:30,2016-01-25T07:47-05:00,950,120,72
18,266.31,804,BWI,2ciqOzND4aTUuEtKvqnX8200n,228.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,617,120,67
19,266.31,1097,BWI,2ciqOzND4aTUuEtKvqnX8201z,228.60,35.60,2.11,2016-01-25T02:45,2016-01-25T06:01-05:00,905,120,72
20,266.31,1006,BWI,2ciqOzND4aTUuEtKvqnX8201X,228.60,35.60,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,819,120,67
