id,airport,departuretime,arrivaltime,duration,cost,tripid
2,BWI,2016-01-25T07:40-05:00,2016-01-25T10:40-08:00,360,143.10,2ciqOzND4aTUuEtKvqnX82002
3,BWI,2016-01-25T13:20-05:00,2016-01-25T18:51-08:00,511,151.60,2ciqOzND4aTUuEtKvqnX82007
22,BWI,2016-01-25T17:15-05:00,2016-01-26T00:22-08:00,607,156.60,2ciqOzND4aTUuEtKvqnX8200E
23,BWI,2016-01-25T17:15-05:00,2016-01-26T00:02-08:00,587,156.60,2ciqOzND4aTUuEtKvqnX8200D
24,BWI,2016-01-25T08:12-05:00,2016-01-25T13:23-08:00,491,179.60,2ciqOzND4aTUuEtKvqnX8200U
25,BWI,2016-01-25T16:10-05:00,2016-01-25T23:08-08:00,598,190.60,2ciqOzND4aTUuEtKvqnX8200F
26,BWI,2016-01-25T10:56-05:00,2016-01-25T20:11-08:00,735,194.60,2ciqOzND4aTUuEtKvqnX8200s
27,BWI,2016-01-25T10:56-05:00,2016-01-25T20:11-08:00,735,194.60,2ciqOzND4aTUuEtKvqnX8200r
28,BWI,2016-01-25T10:56-05:00,2016-01-25T18:51-08:00,655,194.60,2ciqOzND4aTUuEtKvqnX8200k
29,BWI,2016-01-25T10:56-05:00,2016-01-25T21:03-08:00,787,202.60,2ciqOzND4aTUuEtKvqnX82012
30,BWI,2016-01-25T13:20-05:00,2016-01-25T21:03-08:00,643,202.60,2ciqOzND4aTUuEtKvqnX8200l
31,BWI,2016-01-25T07:47-05:00,2016-01-25T19:22-08:00,875,228.60,2ciqOzND4aTUuEtKvqnX8201t
32,BWI,2016-01-25T07:47-05:00,2016-01-25T19:22-08:00,875,228.60,2ciqOzND4aTUuEtKvqnX8201u
33,BWI,2016-01-25T14:01-05:00,2016-01-25T23:59-08:00,778,228.60,2ciqOzND4aTUuEtKvqnX8201L
34,BWI,2016-01-25T14:01-05:00,2016-01-25T22:53-08:00,712,228.60,2ciqOzND4aTUuEtKvqnX82010
35,BWI,2016-01-25T14:01-05:00,2016-01-25T23:59-08:00,778,228.60,2ciqOzND4aTUuEtKvqnX8201K
36,BWI,2016-01-25T07:47-05:00,2016-01-25T20:37-08:00,950,228.60,2ciqOzND4aTUuEtKvqnX82028
37,BWI,2016-01-25T13:20-05:00,2016-01-25T20:37-08:00,617,228.60,2ciqOzND4aTUuEtKvqnX8200n
38,BWI,2016-01-25T06:01-05:00,2016-01-25T18:06-08:00,905,228.60,2ciqOzND4aTUuEtKvqnX8201z
39,BWI,2016-01-25T13:20-05:00,2016-01-25T23:59-08:00,819,228.60,2ciqOzND4aTUuEtKvqnX8201X
40,BWI,2016-01-25T06:40-05:00,2016-01-25T18:06-08:00,866,228.60,2ciqOzND4aTUuEtKvqnX8201r
62,BWI,2016-01-25T06:40-05:00,2016-01-25T16:05-08:00,745,229.60,2ciqOzND4aTUuEtKvqnX82014
63,BWI,2016-01-25T07:47-05:00,2016-01-25T17:20-08:00,753,229.60,2ciqOzND4aTUuEtKvqnX8201D
64,BWI,2016-01-25T06:40-05:00,2016-01-25T16:05-08:00,745,229.60,2ciqOzND4aTUuEtKvqnX82016
65,BWI,2016-01-25T06:40-05:00,2016-01-25T17:20-08:00,820,229.60,2ciqOzND4aTUuEtKvqnX8201b
72,BWI,2016-01-25T06:01-05:00,2016-01-25T11:28-08:00,507,232.60,2ciqOzND4aTUuEtKvqnX8200f
73,BWI,2016-01-25T17:01-05:00,2016-01-25T22:00-08:00,479,232.60,2ciqOzND4aTUuEtKvqnX8200X
74,BWI,2016-01-25T13:20-05:00,2016-01-25T20:27-08:00,607,232.60,2ciqOzND4aTUuEtKvqnX8200m
75,BWI,2016-01-25T06:20-05:00,2016-01-25T21:37-08:00,1097,234.60,2ciqOzND4aTUuEtKvqnX8200N
76,BWI,2016-01-25T13:20-05:00,2016-01-25T21:05-08:00,645,237.60,2ciqOzND4aTUuEtKvqnX8200u
77,BWI,2016-01-25T13:20-05:00,2016-01-25T20:55-08:00,635,239.60,2ciqOzND4aTUuEtKvqnX8200t
78,BWI,2016-01-25T06:40-05:00,2016-01-25T15:41-08:00,721,239.60,2ciqOzND4aTUuEtKvqnX82017
