id,totalcost,totalduration,airport,flightid,flightcost,parkingcost,drivingcost,timeleavehome,flightdeparture,flightduration,atairporttime,drivingduration,airline,selected
237,165.81,544,BWI,2ciqOzND4aTUuEtKvqnX82001,128.1,35.6,2.11,2016-01-25T05:00,2016-01-25T08:20-05:00,352,120,72,NK,1
1,180.81,552,BWI,2ciqOzND4aTUuEtKvqnX82002,143.1,35.6,2.11,2016-01-25T04:15,2016-01-25T07:40-05:00,360,120,72,AS,1
244,189.31,645,BWI,2ciqOzND4aTUuEtKvqnX82003,151.6,35.6,2.11,2016-01-25T10:00,2016-01-25T13:20-05:00,458,120,67,UA,1
6,217.31,683,BWI,2ciqOzND4aTUuEtKvqnX8200U,179.6,35.6,2.11,2016-01-25T05:00,2016-01-25T08:12-05:00,491,120,72,UA,1
317,222.21,522,IAD,0FYkDuZ1Gh6TlvJMkNtn19001,180.1,40,2.11,2016-01-25T14:00,2016-01-25T17:05-05:00,350,120,52,VX,1
819,248.51,470,DCA,RSETozIzLjLQdvO1tO9iRU001,180.1,68,0.41,2016-01-25T07:30,2016-01-25T09:15-05:00,374,75,21,AS,1
1135,259.01,590,DCA,RSETozIzLjLQdvO1tO9iRU003,190.6,68,0.41,2016-01-25T08:45,2016-01-25T10:30-05:00,494,75,21,UA,1
24,270.31,667,BWI,2ciqOzND4aTUuEtKvqnX8200X,232.6,35.6,2.11,2016-01-25T13:45,2016-01-25T17:01-05:00,479,120,68,UA,1
825,278.01,591,DCA,RSETozIzLjLQdvO1tO9iRU00B,209.6,68,0.41,2016-01-25T15:15,2016-01-25T17:00-05:00,495,75,21,VX,1
1186,279.01,561,DCA,RSETozIzLjLQdvO1tO9iRU006,210.6,68,0.41,2016-01-25T07:00,2016-01-25T08:45-05:00,465,75,21,UA,1
5,194.31,775,BWI,2ciqOzND4aTUuEtKvqnX8200D,156.6,35.6,2.11,2016-01-25T14:00,2016-01-25T17:15-05:00,587,120,68,AS,0
