id,flightid,airline,flightnum,departime,cost,airport,flightdur,costperhour
13,,AA,245,17:15,181,DCA,355,31
14,,AA,245,17:15,181,DCA,355,31
15,,AA,245,17:15,181,DCA,355,31
16,,VX,89,9:00,181,IAD,350,31
17,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,181,DCA,374,29
18,,UA,632,12:30,360,IAD,360,60
19,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
20,,AS,739,7:40,99,BWI,360,17
21,2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
22,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
23,,AA,245,17:15,181,DCA,355,31
24,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
25,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
26,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
27,,F9,719/409,17:00,128,DCA,528,15
28,,VX,89,9:00,181,IAD,350,31
29,,AA,245,9:00,181,DCA,605,18
30,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,181,DCA,374,29
31,,AA,2237,19:00,156,DCA,454,21
32,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,99,BWI,352,17
33,,VX,89,9:00,181,IAD,350,31
34,RSET2ciqOzND4aTUuEtKvqnX82001,AK,5,9:15,138,DCA,374,22
1,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,169,DCA,374,27
2,RSETRSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,169,DCA,374,27
3,2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,118,BWI,352,20
4,,AA,245,17:15,181,DCA,355,30
5,2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,118,BWI,352,20
6,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,118,BWI,352,20
7,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,169,DCA,374,27
8,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,169,DCA,374,27
9,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,181,DCA,374,29
10,,VX,89,9:00,369,IAD,350,63
11,RSETozIzLjLQdvO1tO9iRU001,AS,5,9:15,169,DCA,374,27
12,2ciq2ciqOzND4aTUuEtKvqnX82001,NK,141,8:20,118,BWI,352,20
